subject;predicate;object;truth_value
http://dbpedia.org/resource/Against_All_Odds_(1924_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Edmund_Mortimer_(actor);1
http://dbpedia.org/resource/Vampire_Circus;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Robert_Young_(director);1
http://dbpedia.org/resource/Day_Watch_(film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Timur_Bekmambetov;1
http://dbpedia.org/resource/Along_Came_Daffy;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Friz_Freleng;1
http://dbpedia.org/resource/Davy_Crockett:_King_of_the_Wild_Frontier_(film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Norman_Foster_(director);1
http://dbpedia.org/resource/Caroline_and_the_Rebels;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Jean_Devaivre;1
http://dbpedia.org/resource/Desert_Blossoms;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Arthur_Rosson;1
http://dbpedia.org/resource/Vasuvum_Saravananum_Onna_Padichavanga;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/M._Rajesh;1
http://dbpedia.org/resource/Anandam;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Srinu_Vaitla;1
http://dbpedia.org/resource/All_About_Women;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Tsui_Hark;1
http://dbpedia.org/resource/Along_Came_Polly;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/John_Hamburg;1
http://dbpedia.org/resource/Africa_Squeaks;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Bob_Clampett;1
http://dbpedia.org/resource/Dante's_Inferno:_An_Animated_Epic;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Yasuomi_Umetsu;1
http://dbpedia.org/resource/Dedication_(film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Justin_Theroux;1
http://dbpedia.org/resource/Amy_(2015_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Asif_Kapadia;1
http://dbpedia.org/resource/All_Three_of_Us;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Kheiron;1
http://dbpedia.org/resource/Devil_May_Hare;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Robert_McKimson;1
http://dbpedia.org/resource/American_Wedding;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Jesse_Dylan;1
http://dbpedia.org/resource/Day_of_the_Dead_(2008_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Steve_Miner;1
http://dbpedia.org/resource/Dance_Charlie_Dance;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Frank_McDonald_(director);1
http://dbpedia.org/resource/All_in_a_Nutshell;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Jack_Hannah;1
http://dbpedia.org/resource/Dangerous_Dan_McFoo;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Tex_Avery;1
http://dbpedia.org/resource/Valley_of_the_Giants_(film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/William_Keighley;1
http://dbpedia.org/resource/Deep_Blue_Sea_(1999_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Renny_Harlin;1
http://dbpedia.org/resource/All_Together_(1942_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Jack_King_(animator);1
http://dbpedia.org/resource/Dead_Snow;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Tommy_Wirkola;1
http://dbpedia.org/resource/Deep_Impact_(film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Mimi_Leder;1
http://dbpedia.org/resource/Dark_Passage_(film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Delmer_Daves;1
http://dbpedia.org/resource/Cat_Feud;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Chuck_Jones;1
http://dbpedia.org/resource/Alvin_and_the_Chipmunks:_Chipwrecked;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Mike_Mitchell_(director);1
http://dbpedia.org/resource/Danger:_Diabolik;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Mario_Bava;1
http://dbpedia.org/resource/Death_to_Smoochy;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Danny_DeVito;1
http://dbpedia.org/resource/Almost_Famous;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Cameron_Crowe;1
http://dbpedia.org/resource/Amy_(1981_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Vincent_McEveety;1
http://dbpedia.org/resource/Uzhaippali;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/P._Vasu;1
http://dbpedia.org/resource/All_at_Sea_(1935_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Anthony_Kimmins;1
http://dbpedia.org/resource/1971_(2007_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Amrit_Sagar;1
http://dbpedia.org/resource/Dead_Tired;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Michel_Blanc;1
http://dbpedia.org/resource/Dan_in_Real_Life;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Peter_Hedges;1
http://dbpedia.org/resource/Alpine_Antics_(1936_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Jack_King_(animator);1
http://dbpedia.org/resource/David_(2013_Tamil_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Bejoy_Nambiar;1
http://dbpedia.org/resource/Dante's_Inferno_(1935_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Harry_Lachman;1
http://dbpedia.org/resource/Almost_Married_(1932_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/William_Cameron_Menzies;1
http://dbpedia.org/resource/An_Enemy_of_the_People_(1978_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/George_Schaefer_(director);1
http://dbpedia.org/resource/Detouring_America;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Tex_Avery;1
http://dbpedia.org/resource/American_Pie_2;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/J._B._Rogers;1
http://dbpedia.org/resource/Dead_End_(1937_film);http://dbpedia.org/ontology/director;http://dbpedia.org/resource/William_Wyler;1
http://dbpedia.org/resource/After_Your_Own_Heart;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/George_Marshall_(director);1
http://dbpedia.org/resource/Vacanze_di_Natale;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Carlo_Vanzina;1
http://dbpedia.org/resource/Bowery_Bugs;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Arthur_Davis_(animator);1
