subject;predicate;object;truth_value
http://dbpedia.org/resource/Veeram_(2014_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Vijaya_Vauhini_Studios;1
http://dbpedia.org/resource/Vasuvum_Saravananum_Onna_Padichavanga;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/PVP_Cinema;1
http://dbpedia.org/resource/Vanilla_Sky;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Vinyl_Films;1
http://dbpedia.org/resource/Vampire_Circus;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Hammer_Film_Productions;1
http://dbpedia.org/resource/Vacanze_di_Natale;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Filmauro;1
http://dbpedia.org/resource/Uzhaippali;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Vijaya_Vauhini_Studios;1
http://dbpedia.org/resource/Devil_May_Hare;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Cartoons;1
http://dbpedia.org/resource/Detouring_America;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Cartoons;1
http://dbpedia.org/resource/Deep_Impact_(film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/David_Brown_(producer);1
http://dbpedia.org/resource/Dedication_(film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Plum_Pictures;1
http://dbpedia.org/resource/Death_to_Smoochy;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Film4_Productions;1
http://dbpedia.org/resource/Death_and_the_Maiden_(film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Film4_Productions;1
http://dbpedia.org/resource/Dead_Tired;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/TF1_Group;1
http://dbpedia.org/resource/Dead_Snow;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Harald_Zwart;1
http://dbpedia.org/resource/Dead_End_(1937_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Samuel_Goldwyn_Productions;1
http://dbpedia.org/resource/Day_Watch_(film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Bazelevs_Company;1
http://dbpedia.org/resource/Davy_Crockett:_King_of_the_Wild_Frontier_(film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Pictures;1
http://dbpedia.org/resource/David_(2013_Tamil_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Bejoy_Nambiar;1
http://dbpedia.org/resource/Darna_Zaroori_Hai;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Sahara_Movie_Studios;1
http://dbpedia.org/resource/Darling_(2007_Indian_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/T-Series_(company);1
http://dbpedia.org/resource/Dark_Passage_(film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros.;1
http://dbpedia.org/resource/Dante's_Inferno_(1935_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Fox_Film;1
http://dbpedia.org/resource/Dangerous_Dan_McFoo;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Cartoons;1
http://dbpedia.org/resource/Danger:_Diabolik;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Dino_de_Laurentiis_Cinematografica;1
http://dbpedia.org/resource/Dancer_in_the_Dark;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Film4_Productions;1
http://dbpedia.org/resource/Dallas_(film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros.;1
http://dbpedia.org/resource/Cat_Feud;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Cartoons;1
http://dbpedia.org/resource/Boys_and_Girls_(2000_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Dimension_Films;1
http://dbpedia.org/resource/Bowery_Bugs;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Cartoons;1
http://dbpedia.org/resource/Bosko's_Knight-Mare;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Cartoons;1
http://dbpedia.org/resource/Anandam;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Usha_Kiran_Movies;1
http://dbpedia.org/resource/Analyze_This;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Village_Roadshow_Pictures;1
http://dbpedia.org/resource/An_Enemy_of_the_People_(1978_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/First_Artists;1
http://dbpedia.org/resource/Amy_(2015_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Film4_Productions;1
http://dbpedia.org/resource/Amy_(1981_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Pictures;1
http://dbpedia.org/resource/American_Wedding;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/LivePlanet;1
http://dbpedia.org/resource/American_Pie_2;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/LivePlanet;1
http://dbpedia.org/resource/Alvin_and_the_Chipmunks:_Chipwrecked;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Fox_2000_Pictures;1
http://dbpedia.org/resource/Alpine_Antics_(1936_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Cartoons;1
http://dbpedia.org/resource/Along_Came_Polly;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Danny_DeVito;1
http://dbpedia.org/resource/Along_Came_Daffy;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Cartoons;1
http://dbpedia.org/resource/Almost_Married_(1932_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Fox_Film;1
http://dbpedia.org/resource/Almost_Famous;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Vinyl_Films;1
http://dbpedia.org/resource/All_in_a_Nutshell;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Animation_Studios;1
http://dbpedia.org/resource/All_Together_(1942_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Animation_Studios;1
http://dbpedia.org/resource/All_Through_the_Night_(film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Pictures;1
http://dbpedia.org/resource/Against_All_Odds_(1924_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Fox_Film;1
http://dbpedia.org/resource/After_Your_Own_Heart;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Fox_Film;1
http://dbpedia.org/resource/Adventure_in_the_Hopfields;https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Vandyke_Productions;1
http://dbpedia.org/resource/1971_(2007_film);https://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Sagar_Films;1
