subject;predicate;object;truth_value
http://dbpedia.org/resource/Death_and_the_Maiden_(film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Thom_Mount;1
http://dbpedia.org/resource/Adventure_in_the_Hopfields;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Roger_Proudlock;1
http://dbpedia.org/resource/Desert_Blossoms;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/William_Fox_(producer);1
http://dbpedia.org/resource/Veeram_(2014_film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/B._Venkatarama_Reddy;1
http://dbpedia.org/resource/All_Through_the_Night_(film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Jerry_Wald;1
http://dbpedia.org/resource/Detouring_America;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Leon_Schlesinger;1
http://dbpedia.org/resource/Vampire_Circus;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Michael_Carreras;1
http://dbpedia.org/resource/American_Pie_2;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Chris_Moore_(film_producer);1
http://dbpedia.org/resource/1971_(2007_film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Amrit_Sagar;1
http://dbpedia.org/resource/Deep_Impact_(film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/David_Brown_(producer);1
http://dbpedia.org/resource/Bowery_Bugs;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Edward_Selzer;1
http://dbpedia.org/resource/Africa_Squeaks;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Leon_Schlesinger;1
http://dbpedia.org/resource/Amy_(2015_film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/James_Gay-Rees;1
http://dbpedia.org/resource/Death_to_Smoochy;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Andrew_Lazar;1
http://dbpedia.org/resource/Devil_May_Hare;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Edward_Selzer;1
http://dbpedia.org/resource/Analyze_This;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Paula_Weinstein;1
http://dbpedia.org/resource/Dark_Victory;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/David_Lewis_(producer);1
http://dbpedia.org/resource/Danger:_Diabolik;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Dino_De_Laurentiis;1
http://dbpedia.org/resource/Valley_of_the_Giants_(film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Louis_F._Edelman;1
http://dbpedia.org/resource/Anandamanandamaye;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Ramoji_Rao;1
http://dbpedia.org/resource/David_(2013_Tamil_film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Vikram_(actor);1
http://dbpedia.org/resource/An_Angel_at_My_Table;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Bridget_Ikin;1
http://dbpedia.org/resource/Dastak_(1996_film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Mukesh_Bhatt;1
http://dbpedia.org/resource/All_the_Best:_Fun_Begins;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Ajay_Devgn;1
http://dbpedia.org/resource/All_Three_of_Us;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Simon_Istolainen;1
http://dbpedia.org/resource/Dead_Snow;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Harald_Zwart;1
http://dbpedia.org/resource/Against_All_Odds_(1924_film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/William_Fox_(producer);1
http://dbpedia.org/resource/All_at_Sea_(1935_film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Robert_Arthur_(film_producer);1
http://dbpedia.org/resource/Deep_Blue_Sea_(1999_film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Akiva_Goldsman;1
http://dbpedia.org/resource/Vacanze_di_Natale;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Luigi_De_Laurentiis;1
http://dbpedia.org/resource/Dante's_Inferno:_An_Animated_Epic;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Mitsuhisa_Ishikawa;1
http://dbpedia.org/resource/Dead_End_(1937_film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Samuel_Goldwyn;1
http://dbpedia.org/resource/Dan_in_Real_Life;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Jonathan_Shestack;1
http://dbpedia.org/resource/Darling_(2015_Indian_film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Allu_Aravind;1
http://dbpedia.org/resource/Cat_Feud;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/John_W._Burton_(film_producer);1
http://dbpedia.org/resource/Bosko's_Knight-Mare;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Leon_Schlesinger;1
http://dbpedia.org/resource/Dangerous_Dan_McFoo;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Leon_Schlesinger;1
http://dbpedia.org/resource/Dedication_(film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Celine_Rattray;1
http://dbpedia.org/resource/Uzhaippali;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/B._Venkatarama_Reddy;1
http://dbpedia.org/resource/Darna_Zaroori_Hai;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Ram_Gopal_Varma;1
http://dbpedia.org/resource/Anandam;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Ramoji_Rao;1
http://dbpedia.org/resource/Deadly_Advice;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Nigel_Stafford-Clark;1
http://dbpedia.org/resource/Demons_of_the_Mind;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Michael_Carreras;1
http://dbpedia.org/resource/All_in_a_Nutshell;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Walt_Disney;1
http://dbpedia.org/resource/Vasuvum_Saravananum_Onna_Padichavanga;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Arya_(actor);1
http://dbpedia.org/resource/An_Eastern_Westerner;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Hal_Roach;1
http://dbpedia.org/resource/American_Wedding;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Chris_Moore_(film_producer);1
http://dbpedia.org/resource/Almost_Married_(1932_film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/William_Sistrom;1
http://dbpedia.org/resource/Dante's_Inferno_(1935_film);https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Sol_M._Wurtzel;1
http://dbpedia.org/resource/Along_Came_Daffy;https://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Edward_Selzer;1
