subject;predicate;object;truth_value
http://dbpedia.org/resource/Adventure_in_the_Hopfields;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Vandyke_Productions;1
http://dbpedia.org/resource/All_in_a_Nutshell;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Animation_Studios;1
http://dbpedia.org/resource/All_Together_(1942_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Animation_Studios;1
http://dbpedia.org/resource/Almost_Famous;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Vinyl_Films;1
http://dbpedia.org/resource/Along_Came_Daffy;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Cartoons;1
http://dbpedia.org/resource/Along_Came_Polly;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Danny_DeVito;1
http://dbpedia.org/resource/Alpine_Antics_(1936_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Cartoons;1
http://dbpedia.org/resource/Alvin_and_the_Chipmunks:_Chipwrecked;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Fox_2000_Pictures;1
http://dbpedia.org/resource/American_Pie_2;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/LivePlanet;1
http://dbpedia.org/resource/American_Wedding;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/LivePlanet;1
http://dbpedia.org/resource/Amy_(1981_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Pictures;1
http://dbpedia.org/resource/Amy_(2015_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Film4_Productions;1
http://dbpedia.org/resource/An_Enemy_of_the_People_(1978_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/First_Artists;1
http://dbpedia.org/resource/Analyze_This;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Village_Roadshow_Pictures;1
http://dbpedia.org/resource/Arachnophobia_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Hollywood_Pictures;1
http://dbpedia.org/resource/At_the_Earth's_Core_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/American_International_Pictures;1
http://dbpedia.org/resource/Bosko's_Knight-Mare;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Cartoons;1
http://dbpedia.org/resource/Boys_and_Girls_(2000_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Dimension_Films;1
http://dbpedia.org/resource/Cat_Feud;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Cartoons;1
http://dbpedia.org/resource/Dallas_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros.;1
http://dbpedia.org/resource/Dancer_in_the_Dark;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Film4_Productions;1
http://dbpedia.org/resource/Danger:_Diabolik;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Dino_de_Laurentiis_Cinematografica;1
http://dbpedia.org/resource/Dangerous_Dan_McFoo;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Cartoons;1
http://dbpedia.org/resource/Dante's_Inferno_(1935_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Fox_Film;1
http://dbpedia.org/resource/Dark_Passage_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros.;1
http://dbpedia.org/resource/Darling_(2007_Indian_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/T-Series_(company);1
http://dbpedia.org/resource/Darna_Zaroori_Hai;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Sahara_Movie_Studios;1
http://dbpedia.org/resource/David_(2013_Tamil_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Bejoy_Nambiar;1
http://dbpedia.org/resource/Davy_Crockett:_King_of_the_Wild_Frontier_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Pictures;1
http://dbpedia.org/resource/Dead_End_(1937_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Samuel_Goldwyn_Productions;1
http://dbpedia.org/resource/Dead_Snow;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Harald_Zwart;1
http://dbpedia.org/resource/Death_and_the_Maiden_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Film4_Productions;1
