subject;predicate;object;truth_value
http://dbpedia.org/resource/Dead_Snow;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Stig_Frode_Henriksen;1
http://dbpedia.org/resource/David_(2013_Tamil_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Jiiva;1
http://dbpedia.org/resource/Day_Watch_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Jeanna_Friske;1
http://dbpedia.org/resource/Boys_and_Girls_(2000_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Amanda_Detmer;1
http://dbpedia.org/resource/An_Angel_at_My_Table;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Kerry_Fox;1
http://dbpedia.org/resource/All_Together_(1942_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Walt_Disney;1
http://dbpedia.org/resource/Vampire_Circus;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Lynne_Frederick;1
http://dbpedia.org/resource/Bowery_Bugs;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Billy_Bletcher;1
http://dbpedia.org/resource/Analyze_This;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Billy_Crystal;1
http://dbpedia.org/resource/Almost_Famous;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Kate_Hudson;1
http://dbpedia.org/resource/All_the_Best:_Fun_Begins;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Sanjay_Dutt;1
http://dbpedia.org/resource/American_Wedding;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Eugene_Levy;1
http://dbpedia.org/resource/Along_Came_Polly;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Ben_Stiller;1
http://dbpedia.org/resource/Death_and_the_Maiden_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Ben_Kingsley;1
http://dbpedia.org/resource/Darling_(2007_Indian_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Fardeen_Khan;1
http://dbpedia.org/resource/Darna_Zaroori_Hai;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Riteish_Deshmukh;1
http://dbpedia.org/resource/Dedication_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Billy_Crudup;1
http://dbpedia.org/resource/Against_All_Odds_(1924_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Buck_Jones;1
http://dbpedia.org/resource/An_Air_So_Pure;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Marie_Gillain;1
http://dbpedia.org/resource/Darling_(2015_Indian_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Nikki_Galrani;1
http://dbpedia.org/resource/Dante's_Inferno:_An_Animated_Epic;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Peter_Jessop;1
http://dbpedia.org/resource/Along_Came_Daffy;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Mel_Blanc;1
http://dbpedia.org/resource/Deadly_Advice;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Imelda_Staunton;1
http://dbpedia.org/resource/Dallas_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Barbara_Payton;1
http://dbpedia.org/resource/Cat_Feud;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Mel_Blanc;1
http://dbpedia.org/resource/Veeram_(2014_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Tamannaah;1
http://dbpedia.org/resource/All_About_Women;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Gwei_Lun-mei;1
http://dbpedia.org/resource/All_Through_the_Night_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Phil_Silvers;1
http://dbpedia.org/resource/Demons_of_the_Mind;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Yvonne_Mitchell;1
http://dbpedia.org/resource/Uzhaippali;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Roja_Selvamani;1
http://dbpedia.org/resource/Alvin_and_the_Chipmunks:_Chipwrecked;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Amy_Poehler;1
http://dbpedia.org/resource/Dan_in_Real_Life;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Steve_Carell;1
http://dbpedia.org/resource/An_Angel_from_Texas;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Ronald_Reagan;1
http://dbpedia.org/resource/Anandam;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Tanikella_Bharani;1
http://dbpedia.org/resource/Dark_Victory;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Ronald_Reagan;1
http://dbpedia.org/resource/American_Pie_2;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Alyson_Hannigan;1
http://dbpedia.org/resource/1971_(2007_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Ravi_Kishan;1
http://dbpedia.org/resource/Deep_Impact_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Morgan_Freeman;1
http://dbpedia.org/resource/Amy_(1981_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Kathleen_Nolan;1
http://dbpedia.org/resource/Adventure_in_the_Hopfields;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Mandy_Miller;1
http://dbpedia.org/resource/An_Eastern_Westerner;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Harold_Lloyd;1
http://dbpedia.org/resource/After_Your_Own_Heart;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Ora_Carew;1
http://dbpedia.org/resource/Detouring_America;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Robert_C._Bruce;1
http://dbpedia.org/resource/Amy_(2015_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Amy_Winehouse;1
http://dbpedia.org/resource/Davy_Crockett:_King_of_the_Wild_Frontier_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Fess_Parker;1
http://dbpedia.org/resource/Dark_Passage_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Agnes_Moorehead;1
http://dbpedia.org/resource/Vasuvum_Saravananum_Onna_Padichavanga;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Muktha_(actress);1
http://dbpedia.org/resource/Danger:_Diabolik;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Michel_Piccoli;1
http://dbpedia.org/resource/Deep_Blue_Sea_(1999_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Saffron_Burrows;1
http://dbpedia.org/resource/Day_of_the_Dead_(2008_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Nick_Cannon;1
