subject;predicate;object;truth_value
http://dbpedia.org/resource/Xiaowei_Zhuang;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Max_Delbruck_Prize;1
http://dbpedia.org/resource/William_King_Gregory;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/National_Academy_of_Sciences;1
http://dbpedia.org/resource/Walter_Hayman;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Berwick_Prize;1
http://dbpedia.org/resource/Vivian_Lee;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/National_Academy_of_Medicine;1
http://dbpedia.org/resource/Tracy_Palmer;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Royal_Society_University_Research_Fellowship;1
http://dbpedia.org/resource/Ted_Janssen;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/International_Union_of_Crystallography;1
http://dbpedia.org/resource/Saul_Perlmutter;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Shaw_Prize;1
http://dbpedia.org/resource/Ruth_Arnon;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Robert_Koch_Medal_and_Award;1
http://dbpedia.org/resource/Robert_H._Grubbs;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/American_Institute_of_Chemists_Gold_Medal;1
http://dbpedia.org/resource/Robert_Bell_(geologist);http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Cullum_Geographical_Medal;1
http://dbpedia.org/resource/Peter_Wells_(medical_physicist);http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Royal_Medal;1
http://dbpedia.org/resource/Paul_Milgrom;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Nobel_Memorial_Prize_in_Economic_Sciences;1
http://dbpedia.org/resource/Paul_Farmer;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/MacArthur_Fellows_Program;1
http://dbpedia.org/resource/Pardis_Sabeti;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/The_Paul_&_Daisy_Soros_Fellowships_for_New_Americans;1
http://dbpedia.org/resource/Norman_Allinger;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Sloan_Research_Fellowship;1
http://dbpedia.org/resource/Melvin_Cohn;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Novartis_Prizes_for_Immunology;1
http://dbpedia.org/resource/Maor_Farid;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Moskowitz_Prize_for_Zionism;1
http://dbpedia.org/resource/Lewis_Wolpert;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Viktor_Hamburger;1
http://dbpedia.org/resource/Leon_Kass;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Jefferson_Lecture;1
http://dbpedia.org/resource/Lance_Liotta;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/American_Association_for_Clinical_Chemistry;1
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Albert_Einstein_Medal;1
http://dbpedia.org/resource/Kenneth_G._Wilson;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Wolf_Prize;1
http://dbpedia.org/resource/Jonathan_D._Cohen;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/APA_Award_for_Distinguished_Scientific_Contributions_to_Psychology;1
http://dbpedia.org/resource/John_Lindl;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Edward_Teller_Award;1
http://dbpedia.org/resource/John_Bardeen;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Lomonosov_Gold_Medal;1
http://dbpedia.org/resource/Joe_Neilands;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Guggenheim_Fellowship;1
http://dbpedia.org/resource/James_F._Scott;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Josef_Stefan;1
http://dbpedia.org/resource/J._Robert_Oppenheimer;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Enrico_Fermi_Award;1
http://dbpedia.org/resource/Herbert_A._Simon;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/ACM_Fellow;1
