subject;predicate;object;truth_value,
http://dbpedia.org/resource/Malcolm_Haines;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Belfast;1,
http://dbpedia.org/resource/Thomas_D._Cook;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Birkenhead;1,
http://dbpedia.org/resource/Richard_Woodcock;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Oregon;1,
http://dbpedia.org/resource/Yves_Meyer;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/France;1,
http://dbpedia.org/resource/William_Silverman;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Cleveland;1,
http://dbpedia.org/resource/Robert_Bentley_(botanist);http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Hitchin;1,
http://dbpedia.org/resource/Stephen_Hawking;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Oxford;1,
http://dbpedia.org/resource/Maxwell_McCombs;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Alabama;1,
http://dbpedia.org/resource/Norman_Allinger;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Alameda,_California;1
http://dbpedia.org/resource/Oscar_Ratnoff;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/New_York_City;1,
http://dbpedia.org/resource/Norman_Rostoker;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Toronto;1,
http://dbpedia.org/resource/Rogers_H._Wright;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Hoxie,_Arkansas;1
http://dbpedia.org/resource/Maha_Ashour-Abdalla;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Kingdom_of_Egypt;1,
http://dbpedia.org/resource/Stephanie_Kwolek;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Pennsylvania;1,
http://dbpedia.org/resource/Lawrence_Alexander_Hardie;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/KwaZulu-Natal;1,
http://dbpedia.org/resource/Matthew_O._Howard;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Chicago;1,
http://dbpedia.org/resource/Robert_Bell_(geologist);http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Toronto;1,
http://dbpedia.org/resource/Tracy_Palmer;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Sheffield;1,
http://dbpedia.org/resource/Nektarios_Tavernarakis;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Heraklion;1,
http://dbpedia.org/resource/Rose_Frisch;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/New_York_City;1,
http://dbpedia.org/resource/Paul_Milgrom;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Michigan;1,
http://dbpedia.org/resource/Leonard_Broom;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Boston;1,
http://dbpedia.org/resource/Sergi_Jikia;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Martvili_Municipality;1,
http://dbpedia.org/resource/William_King_Gregory;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Greenwich_(village),_New_York;1
http://dbpedia.org/resource/William_Shadish;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/New_York_(state);1,
http://dbpedia.org/resource/Paul_Farmer;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/North_Adams,_Massachusetts;1
http://dbpedia.org/resource/Susan_L._Swain;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Columbus,_Ohio;1
http://dbpedia.org/resource/Samuel_Greenhouse;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/The_Bronx;1,
http://dbpedia.org/resource/Walter_Hayman;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Germany;1,
http://dbpedia.org/resource/Peter_F._Green;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Jamaica;1,
http://dbpedia.org/resource/Tanel_Tammet;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Tallinn;1,
http://dbpedia.org/resource/Nanda_Rea;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Rome;1,
http://dbpedia.org/resource/Neil_Gordon_(paediatrician);http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Scotland;1,
http://dbpedia.org/resource/William_Healey_Dall;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Boston;1,
http://dbpedia.org/resource/Melvin_Cohn;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/New_York_City;1,
http://dbpedia.org/resource/Thomas_Oakland;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Wisconsin;1,
http://dbpedia.org/resource/Ted_Janssen;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Vught;1,
http://dbpedia.org/resource/W._Horsley_Gantt;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Wingina,_Virginia;1
http://dbpedia.org/resource/William_L._Kruer;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Louisville,_Kentucky;1
http://dbpedia.org/resource/William_Howard_Stein;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/New_York_City;1,
http://dbpedia.org/resource/Nalini_Balbir;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Lormont;1,
http://dbpedia.org/resource/Leo_Postman;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Saint_Petersburg;1,
http://dbpedia.org/resource/Micha_Sharir;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Israel;1,
http://dbpedia.org/resource/Simon_Biesheuvel;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Netherlands;1,
http://dbpedia.org/resource/Teruko_Ishizaka;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Yamagata;1,
http://dbpedia.org/resource/Leon_Kass;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Chicago;1,
http://dbpedia.org/resource/Kenneth_G._Wilson;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Waltham,_Massachusetts;1
http://dbpedia.org/resource/Ubaidur_Rahman;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Presidencies_and_provinces_of_British_India;1,
http://dbpedia.org/resource/Albert_Einstein;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/German_Empire;1,
http://dbpedia.org/resource/Isaac_Newton;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Lincolnshire;1,
