subject;predicate;object;truth_value,
http://dbpedia.org/resource/William_James_Mayo;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Rochester,_Minnesota;1
http://dbpedia.org/resource/William_J._Breed;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Flagstaff,_Arizona;1
http://dbpedia.org/resource/William_Edward_Hanford;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Bethesda,_Maryland;1
http://dbpedia.org/resource/Nikola_Tesla;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/New_York_City;1,
http://dbpedia.org/resource/William_Astbury;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Leeds;1,
http://dbpedia.org/resource/Wilhelm_Wien;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Weimar_Republic;1,
http://dbpedia.org/resource/Warren_Ambrose;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Paris;1,
http://dbpedia.org/resource/Wang_Buxuan;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/China;1,
http://dbpedia.org/resource/Walter_Wilczynski;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Atlanta;1,
http://dbpedia.org/resource/Walter_Houser_Brattain;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Seattle;1,
http://dbpedia.org/resource/Vladimir_Mikhailovich_Myasishchev;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Soviet_Union;1,
http://dbpedia.org/resource/Vladimir_Chelomey;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic;1,
http://dbpedia.org/resource/Ursula_Bellugi;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/La_Jolla;1,
http://dbpedia.org/resource/Samuel_Francis_Boys;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Cambridge;1,
http://dbpedia.org/resource/Harry_Kroto;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Lewes;1,
http://dbpedia.org/resource/Harold_Max_Rosenberg;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Brazil;1,
http://dbpedia.org/resource/Harold_Furth;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Philadelphia;1,
http://dbpedia.org/resource/Harold_Beverage;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Port_Jefferson,_New_York;1
http://dbpedia.org/resource/Harold_Agnew;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Solana_Beach,_California;1
http://dbpedia.org/resource/Hans_Kuypers;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Cambridge;1,
http://dbpedia.org/resource/Hanna_Neumann;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Ottawa;1,
http://dbpedia.org/resource/Haldan_Keffer_Hartline;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Fallston,_Maryland;1
http://dbpedia.org/resource/George_de_Hevesy;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Freiburg_im_Breisgau;1,
http://dbpedia.org/resource/George_N._Hatsopoulos;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Lincoln,_Massachusetts;1
http://dbpedia.org/resource/George_Kauffman;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/California;1,
http://dbpedia.org/resource/George_Everest;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Hyde_Park_Gardens;1,
http://dbpedia.org/resource/George_Dantzig;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Stanford,_California;1
http://dbpedia.org/resource/George_C._Clerk;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Accra;1,
http://dbpedia.org/resource/George_Armitage_Miller;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Plainsboro_Township,_New_Jersey;1
http://dbpedia.org/resource/Gene_F._Franklin;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Palo_Alto,_California;1
http://dbpedia.org/resource/Gene_Amdahl;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Palo_Alto,_California;1
http://dbpedia.org/resource/Frederick_G._Donnan;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/England;1,
http://dbpedia.org/resource/Frederick_DuCane_Godman;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/London;1,
http://dbpedia.org/resource/Frederic_M._Richards;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Guilford,_Connecticut;1
http://dbpedia.org/resource/Endre_Dudich;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Budapest;1,
http://dbpedia.org/resource/Elving_Anderson;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Stillwater,_Minnesota;1
http://dbpedia.org/resource/David_Goodall_(botanist);http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Liestal;1,
http://dbpedia.org/resource/David_Gale;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/California;1,
http://dbpedia.org/resource/David_A._Huffman;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Santa_Cruz,_California;1
http://dbpedia.org/resource/Bert_Sutherland;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/California;1,
http://dbpedia.org/resource/Bernhard_Neumann;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Canberra;1,
http://dbpedia.org/resource/Ardeshir_Hosseinpour;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Isfahan;1,
http://dbpedia.org/resource/Andrew_Huxley;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Cambridge;1,
http://dbpedia.org/resource/Alfred_Merle_Norman;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Berkhamsted;1,
http://dbpedia.org/resource/Alexey_Okladnikov;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Novosibirsk;1,
http://dbpedia.org/resource/Alexander_Ross_Clarke;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Reigate;1,
http://dbpedia.org/resource/Albrecht_Penck;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Protectorate_of_Bohemia_and_Moravia;1,
http://dbpedia.org/resource/Albert_Schweitzer;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Gabon;1,
http://dbpedia.org/resource/Albert_Claude;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Brussels;1,
http://dbpedia.org/resource/Albert_Einstein;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/New_Jersey;1,
