subject;predicate;object;truth_value,
http://dbpedia.org/resource/Robert_Bell_(geologist);http://dbpedia.org/property/education;http://dbpedia.org/resource/McGill_University;1,
http://dbpedia.org/resource/Thomas_Michael_O'Neil;http://dbpedia.org/property/education;http://dbpedia.org/resource/California_State_University,_Long_Beach;1
http://dbpedia.org/resource/Nouria_Hernandez;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Geneva;1,
http://dbpedia.org/resource/Stephanie_Kwolek;http://dbpedia.org/property/education;http://dbpedia.org/resource/Carnegie_Mellon_University;1,
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/property/education;http://dbpedia.org/resource/Yale_University;1,
http://dbpedia.org/resource/Patrick_F._Sullivan;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Notre_Dame;1,
http://dbpedia.org/resource/Walter_Hayman;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Cambridge;1,
http://dbpedia.org/resource/Raymond_Wolters;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_California,_Berkeley;1
http://dbpedia.org/resource/Norman_Allinger;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_California;1,
http://dbpedia.org/resource/Michael_Telch;http://dbpedia.org/property/education;http://dbpedia.org/resource/Stanford_University;1,
http://dbpedia.org/resource/Susan_Huganir_Magsamen;http://dbpedia.org/property/education;http://dbpedia.org/resource/Towson_University;1,
http://dbpedia.org/resource/Robert_H._Grubbs;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Florida;1,
http://dbpedia.org/resource/William_Henry_Pickering;http://dbpedia.org/property/education;http://dbpedia.org/resource/Massachusetts_Institute_of_Technology;1,
http://dbpedia.org/resource/Mark_Tehranipoor;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Texas_at_Dallas;1,
http://dbpedia.org/resource/Steven_Blair;http://dbpedia.org/property/education;http://dbpedia.org/resource/Indiana_University_Bloomington;1,
http://dbpedia.org/resource/Maxwell_McCombs;http://dbpedia.org/property/education;http://dbpedia.org/resource/Tulane_University;1,
