subject;predicate;object;truth_value
http://dbpedia.org/resource/Uttarakhand_Residential_University;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1
http://dbpedia.org/resource/University_of_Jammu;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1
http://dbpedia.org/resource/University_of_Helsinki;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_of_the_Arctic;1
http://dbpedia.org/resource/Universiti_Utara_Malaysia;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;1
http://dbpedia.org/resource/University_of_Hertfordshire;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Alliance;1
http://dbpedia.org/resource/Northern_University_of_Business_and_Technology_Khulna;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1
http://dbpedia.org/resource/University_of_Limerick;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Irish_Universities_Association;1
http://dbpedia.org/resource/University_of_Strathclyde;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;1
http://dbpedia.org/resource/University_of_Exeter;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_MBAs;1
http://dbpedia.org/resource/University_of_Portsmouth;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Alliance;1
http://dbpedia.org/resource/University_of_Gloucestershire;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Brethren_Colleges_Abroad;1
http://dbpedia.org/resource/University_of_Dundee;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;1
http://dbpedia.org/resource/University_of_Huddersfield;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Alliance;1
http://dbpedia.org/resource/Vellore_Institute_of_Technology;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1
http://dbpedia.org/resource/University_of_Salford;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Alliance;1
http://dbpedia.org/resource/University_of_Sheffield;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;1
http://dbpedia.org/resource/University_of_Mysore;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1
http://dbpedia.org/resource/Jahangirnagar_University;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1
http://dbpedia.org/resource/University_of_Benin_(Nigeria);https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_African_Universities;1
http://dbpedia.org/resource/University_of_Sussex;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;1
http://dbpedia.org/resource/University_of_Technology_Malaysia;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;1
http://dbpedia.org/resource/University_of_Kota;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Indian_Universities;1
http://dbpedia.org/resource/Universiti_Sains_Malaysia;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Alliance_in_Talent_Education_Development;1
http://dbpedia.org/resource/Ulster_University_at_Coleraine;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Ulster_University;1
http://dbpedia.org/resource/University_of_Hull;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Global_U8_Consortium;1
http://dbpedia.org/resource/University_of_Westminster;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;1
http://dbpedia.org/resource/University_of_Waikato;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_to_Advance_Collegiate_Schools_of_Business;1
http://dbpedia.org/resource/Vijayanagara_Sri_Krishnadevaraya_University;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1
http://dbpedia.org/resource/University_of_Victoria;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Universities_Canada;1
http://dbpedia.org/resource/University_of_Rajshahi;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1
http://dbpedia.org/resource/St._Paul's_University_College;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_of_Waterloo;1
http://dbpedia.org/resource/University_of_Science_and_Technology_Chittagong;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1
http://dbpedia.org/resource/University_of_Technology_Sarawak;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_of_Canterbury;1
http://dbpedia.org/resource/Majuli_University_of_Culture;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1
http://dbpedia.org/resource/Population_Research_Laboratory;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/U_Sports;1
http://dbpedia.org/resource/Pondicherry_University;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1
http://dbpedia.org/resource/Vinoba_Bhave_University;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1
http://dbpedia.org/resource/University_of_Edinburgh;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Universitas_21;1
http://dbpedia.org/resource/University_of_Sydney;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;1
http://dbpedia.org/resource/University_of_Queensland;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Universitas_21;1
http://dbpedia.org/resource/Tamil_Nadu_Dr._M.G.R._Medical_University;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1
http://dbpedia.org/resource/University_of_Nottingham_Malaysia;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Universitas_21;1
http://dbpedia.org/resource/University_of_Akureyri;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_of_the_Arctic;1
http://dbpedia.org/resource/Jagadguru_Ramanandacharya_Rajasthan_Sanskrit_University;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1
http://dbpedia.org/resource/University_of_Dar_es_Salaam;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_African_Universities;1
http://dbpedia.org/resource/Teesside_University;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Alliance;1
http://dbpedia.org/resource/University_School_of_Law_and_Legal_Studies;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1
http://dbpedia.org/resource/Tamil_Nadu_Music_and_Fine_Arts_University;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1
http://dbpedia.org/resource/Manonmaniam_Sundaranar_University;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1
http://dbpedia.org/resource/University_of_East_Anglia;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Universities_UK;1
