subject;predicate;object;truth_value,
http://dbpedia.org/resource/Wilfrid_Laurier_University;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Eileen_Mercier;1,
http://dbpedia.org/resource/Vinoba_Bhave_University;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/List_of_governors_of_Jharkhand;1,
http://dbpedia.org/resource/University_of_the_Witwatersrand;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Judy_Dlamini;1,
http://dbpedia.org/resource/University_of_the_Sunshine_Coast;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Angus_Houston;1,
http://dbpedia.org/resource/University_of_Waikato;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Anand_Satyanand;1,
http://dbpedia.org/resource/University_of_Victoria;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Marion_Buller;1,
http://dbpedia.org/resource/University_of_Technology_Sarawak;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Abdul_Taib_Mahmud;1,
http://dbpedia.org/resource/University_of_Technology_Malaysia;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Raja_Zarith_Sofiah;1,
http://dbpedia.org/resource/University_of_Sussex;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Sanjeev_Bhaskar;1,
http://dbpedia.org/resource/University_of_Suffolk;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Helen_Pankhurst;1,
http://dbpedia.org/resource/University_of_Strathclyde;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Robert_Smith,_Baron_Smith_of_Kelvin;1
http://dbpedia.org/resource/University_of_Sheffield;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Anne_Rafferty;1,
http://dbpedia.org/resource/University_of_Reading;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;1,
http://dbpedia.org/resource/University_of_Rajasthan;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/List_of_governors_of_Rajasthan;1,
http://dbpedia.org/resource/University_of_Putra_Malaysia;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Sharafuddin_of_Selangor;1,
http://dbpedia.org/resource/University_of_Pretoria;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Wiseman_Lumkile_Nkuhlu;1,
http://dbpedia.org/resource/University_of_Portsmouth;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Karen_Blackett;1,
http://dbpedia.org/resource/University_of_Plymouth;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Jonathan_Kestenbaum,_Baron_Kestenbaum;1
http://dbpedia.org/resource/University_of_Nottingham_Ningbo_China;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Yang_Fujia;1,
http://dbpedia.org/resource/University_of_Mysore;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/List_of_governors_of_Karnataka;1,
http://dbpedia.org/resource/University_of_Malta;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/David_Attard;1,
http://dbpedia.org/resource/University_of_London;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Anne,_Princess_Royal;1
http://dbpedia.org/resource/University_of_Lincoln;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Victor_Adebowale,_Baron_Adebowale;1
http://dbpedia.org/resource/University_of_Limerick;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Mary_Harney;1,
http://dbpedia.org/resource/University_of_Leicester;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/David_Willetts;1,
http://dbpedia.org/resource/University_of_Jaffna;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/S._Pathmanathan;1,
http://dbpedia.org/resource/University_of_Information_Technology_and_Sciences;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Abdul_Hamid_(politician);1,
http://dbpedia.org/resource/University_of_Hull;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Virginia_Bottomley;1,
http://dbpedia.org/resource/University_of_Huddersfield;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/George_W._Buckley;1,
http://dbpedia.org/resource/University_of_Hertfordshire;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Robert_Gascoyne-Cecil,_7th_Marquess_of_Salisbury;1
http://dbpedia.org/resource/University_of_Greenwich;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Paul_Boateng;1,
http://dbpedia.org/resource/University_of_Glasgow;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Katherine_Grainger;1,
http://dbpedia.org/resource/University_of_Eswatini;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Mswati_III;1,
http://dbpedia.org/resource/University_of_East_Anglia;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Karen_Jones;1,
http://dbpedia.org/resource/University_of_Derby;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/William_Cavendish,_Earl_of_Burlington;1
http://dbpedia.org/resource/University_of_Dar_es_Salaam;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Jakaya_Kikwete;1,
http://dbpedia.org/resource/University_of_Chester;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Gyles_Brandreth;1,
http://dbpedia.org/resource/University_of_Canterbury;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Amy_Adams_(politician);1,
http://dbpedia.org/resource/University_of_Calicut;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/List_of_governors_of_Kerala;1,
http://dbpedia.org/resource/University_of_Allahabad;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Ashish_Chauhan;1,
http://dbpedia.org/resource/University_School_of_Law_and_Legal_Studies;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/List_of_lieutenant_governors_of_Delhi;1,
http://dbpedia.org/resource/University_College_London;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/University_of_London;1,
http://dbpedia.org/resource/Universiti_Utara_Malaysia;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Sallehuddin_of_Kedah;1,
http://dbpedia.org/resource/Universiti_Tenaga_Nasional;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Ahmad_Fuzi_Abdul_Razak;1,
http://dbpedia.org/resource/Universiti_Sains_Malaysia;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Sirajuddin_of_Perlis;1,
http://dbpedia.org/resource/Ulster_University_at_Coleraine;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/James_Nesbitt;1,
http://dbpedia.org/resource/Ulster_University;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Colin_Davidson_(artist);1,
http://dbpedia.org/resource/Tasmanian_Institute_of_Agriculture;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Michael_Field_(politician);1,
http://dbpedia.org/resource/Tamil_Nadu_Fisheries_University;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/List_of_governors_of_Tamil_Nadu;1,
http://dbpedia.org/resource/Symbiosis_International_University;http://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/S._B._Mujumdar;1,
