subject;predicate;object;truth_value
http://dbpedia.org/resource/Dance_Charlie_Dance;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Allen_Jenkins;0
http://dbpedia.org/resource/Davy_Crockett:_King_of_the_Wild_Frontier_(film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Andrew_Jackson;0
http://dbpedia.org/resource/Along_Came_Polly;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Danny_DeVito;0
http://dbpedia.org/resource/All_in_a_Nutshell;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Walt_Disney;0
http://dbpedia.org/resource/1971_(2007_film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Vivek_Mishra;0
http://dbpedia.org/resource/Dan_in_Real_Life;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Alison_Sudol;0
http://dbpedia.org/resource/All_at_Sea_(1935_film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Alex_Bryce;0
http://dbpedia.org/resource/All_Three_of_Us;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Carole_Franck;0
http://dbpedia.org/resource/Amy_(2015_film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Amy_Winehouse;0
http://dbpedia.org/resource/Anandam;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Devi_Sri_Prasad;0
http://dbpedia.org/resource/Almost_Married_(1932_film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Violet_Heming;0
http://dbpedia.org/resource/Along_Came_Daffy;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Virgil_Ross;0
http://dbpedia.org/resource/All_About_Women;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/William_Chang;0
http://dbpedia.org/resource/Deep_Impact_(film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/David_Brown_(producer);0
http://dbpedia.org/resource/All_Together_(1942_film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Walt_Disney;0
http://dbpedia.org/resource/Alpine_Antics_(1936_film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Bernice_Hansen;0
http://dbpedia.org/resource/Dedication_(film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Amy_Sedaris;0
http://dbpedia.org/resource/Bowery_Bugs;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Merrie_Melodies;0
http://dbpedia.org/resource/Dante's_Inferno_(1935_film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Dante_Alighieri;0
http://dbpedia.org/resource/An_Enemy_of_the_People_(1978_film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Alexander_Jacobs;0
http://dbpedia.org/resource/Amy_(1981_film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Virginia_Vincent;0
http://dbpedia.org/resource/Africa_Squeaks;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/David_Livingstone;0
http://dbpedia.org/resource/David_(2013_Tamil_film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Vikram_(actor);0
http://dbpedia.org/resource/Dead_Tired;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Daniel_Toscan_du_Plantier;0
http://dbpedia.org/resource/Danger:_Diabolik;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/American_Zoetrope;0
http://dbpedia.org/resource/Devil_May_Hare;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Phil_DeLara;0
http://dbpedia.org/resource/Desert_Blossoms;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Arthur_J._Zellner;0
http://dbpedia.org/resource/Dangerous_Dan_McFoo;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Virgil_Ross;0
http://dbpedia.org/resource/Death_to_Smoochy;https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Andrew_Lazar;0
http://dbpedia.org/resource/Valley_of_the_Giants_(film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Wade_Boteler;0
http://dbpedia.org/resource/Dead_End_(1937_film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Allen_Jenkins;0
http://dbpedia.org/resource/Day_Watch_(film);https://dbpedia.org/ontology/director;http://dbpedia.org/resource/Valeri_Zolotukhin;0
