 subject;predicate;object;truth_value 
http://dbpedia.org/resource/An_Eastern_Westerner;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Wallace_Howe;0
http://dbpedia.org/resource/David_(2013_Tamil_film);http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Sheetal_Menon;0
http://dbpedia.org/resource/Amy_(2015_film);http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Amy_Winehouse;0
http://dbpedia.org/resource/Desert_Blossoms;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Arthur_J._Zellner;0
http://dbpedia.org/resource/An_Angel_at_My_Table;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Stuart_Dryburgh;0
http://dbpedia.org/resource/Detouring_America;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Merrie_Melodies;0
http://dbpedia.org/resource/All_the_Best:_Fun_Begins;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Vijay_Patkar;0
http://dbpedia.org/resource/1971_(2007_film);http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Vivek_Mishra;0
http://dbpedia.org/resource/All_in_a_Nutshell;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Clarence_Nash;0
http://dbpedia.org/resource/Vasuvum_Saravananum_Onna_Padichavanga;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Varun_Parandhaman;0
http://dbpedia.org/resource/Deep_Blue_Sea_(1999_film);http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Frank_J._Urioste;0
http://dbpedia.org/resource/Bowery_Bugs;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Merrie_Melodies;0
http://dbpedia.org/resource/Dead_End_(1937_film);http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Allen_Jenkins;0
http://dbpedia.org/resource/Anandam;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Devi_Sri_Prasad;0
http://dbpedia.org/resource/Death_and_the_Maiden_(film);http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Rafael_Yglesias;0
http://dbpedia.org/resource/Dante's_Inferno_(1935_film);http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Dante_Alighieri;0
http://dbpedia.org/resource/Analyze_This;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Chazz_Palminteri;0
http://dbpedia.org/resource/All_Three_of_Us;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Carole_Franck;0
http://dbpedia.org/resource/Veeram_(2014_film);http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Amit_Tiwari;0
http://dbpedia.org/resource/Devil_May_Hare;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Phil_DeLara;0
http://dbpedia.org/resource/Africa_Squeaks;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/David_Livingstone;0
http://dbpedia.org/resource/Cat_Feud;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Merrie_Melodies;0
http://dbpedia.org/resource/Dante's_Inferno:_An_Animated_Epic;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Dante_Alighieri;0
http://dbpedia.org/resource/Darna_Zaroori_Hai;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Amal_Neerad;0
http://dbpedia.org/resource/All_Through_the_Night_(film);http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Vincent_Sherman;0
http://dbpedia.org/resource/Deep_Impact_(film);http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/David_M._Walker_(astronaut);0
