subject;predicate;object;truth_value
http://dbpedia.org/resource/Arachnophobia_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures;0
http://dbpedia.org/resource/At_the_Earth's_Core_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/British_Lion_Films;0
http://dbpedia.org/resource/Adventure_in_the_Hopfields;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/TV_Guide;0
http://dbpedia.org/resource/All_in_a_Nutshell;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Nut_butter;0
http://dbpedia.org/resource/All_Together_(1942_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Government_of_Canada;0
http://dbpedia.org/resource/Almost_Famous;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Capricorn_Records;0
http://dbpedia.org/resource/Along_Came_Daffy;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros.;0
http://dbpedia.org/resource/Along_Came_Polly;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Universal_Pictures;0
http://dbpedia.org/resource/Alpine_Antics_(1936_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros.;0
http://dbpedia.org/resource/Alvin_and_the_Chipmunks:_Chipwrecked;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/The_Hollywood_Reporter;0
http://dbpedia.org/resource/American_Pie_2;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/VHS;0
http://dbpedia.org/resource/American_Wedding;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Wedding_dress;0
http://dbpedia.org/resource/Amy_(1981_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures;0
http://dbpedia.org/resource/Amy_(2015_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Twitter;0
http://dbpedia.org/resource/An_Enemy_of_the_People_(1978_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros.;0
http://dbpedia.org/resource/Analyze_This;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Pictures;0
http://dbpedia.org/resource/Bosko's_Knight-Mare;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Pictures;0
http://dbpedia.org/resource/Boys_and_Girls_(2000_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Miramax;0
http://dbpedia.org/resource/Cat_Feud;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros.;0
http://dbpedia.org/resource/Dallas_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Gold_Medal_Books;0
http://dbpedia.org/resource/Dancer_in_the_Dark;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Les_films_du_losange;0
http://dbpedia.org/resource/Danger:_Diabolik;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/American_Zoetrope;0
http://dbpedia.org/resource/Dangerous_Dan_McFoo;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros.;0
http://dbpedia.org/resource/Dante's_Inferno_(1935_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Painting;0
http://dbpedia.org/resource/Dark_Passage_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/San_Francisco_cable_car_system;0
http://dbpedia.org/resource/Darling_(2007_Indian_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Balaji_Motion_Pictures;0
http://dbpedia.org/resource/Darna_Zaroori_Hai;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/K_Sera_Sera_Limited;0
http://dbpedia.org/resource/David_(2013_Tamil_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/T-Series_(company);0
http://dbpedia.org/resource/Davy_Crockett:_King_of_the_Wild_Frontier_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures;0
http://dbpedia.org/resource/Dead_End_(1937_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/United_Artists;0
http://dbpedia.org/resource/Dead_Snow;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Euforia_Film;0
http://dbpedia.org/resource/Death_and_the_Maiden_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Momentum_Pictures;0
http://dbpedia.org/resource/Death_to_Smoochy;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros._Pictures;0
http://dbpedia.org/resource/Dedication_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/The_Weinstein_Company;0
http://dbpedia.org/resource/Deep_Impact_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/United_International_Pictures;0
http://dbpedia.org/resource/Detouring_America;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros.;0
http://dbpedia.org/resource/Devil_May_Hare;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros.;0
http://dbpedia.org/resource/Vampire_Circus;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Pinewood_Studios;0
http://dbpedia.org/resource/Vanilla_Sky;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/CinemaScore;0
http://dbpedia.org/resource/Veeram_(2014_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Indo-Asian_News_Service;0
http://dbpedia.org/resource/Daffy_Rents;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Vitaphone;0
http://dbpedia.org/resource/Foxy_Brown_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/American_International_Pictures;0
http://dbpedia.org/resource/Garfield_Gets_Real;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/20th_Century_Studios_Home_Entertainment;0
http://dbpedia.org/resource/Gangotri_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Allu_Aravind;0
http://dbpedia.org/resource/Powder_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Hollywood_Pictures;0
http://dbpedia.org/resource/Good_Times_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Columbia_Pictures;0
http://dbpedia.org/resource/The_Care_Bears_Movie;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Astral_Media;0
http://dbpedia.org/resource/Annayya_(2000_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Geetha_Arts;0
http://dbpedia.org/resource/Dead_Tired;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures;0
http://dbpedia.org/resource/Avengers:_Endgame;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures;0
