subject;predicate;object;truth_value
http://dbpedia.org/resource/Veeram_(2014_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Amit_Tiwari;0
http://dbpedia.org/resource/Vasuvum_Saravananum_Onna_Padichavanga;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Varun_Parandhaman;0
http://dbpedia.org/resource/Vampire_Circus;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Mark_Morris_(author);0
http://dbpedia.org/resource/Uzhaippali;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Mano_(singer);0
http://dbpedia.org/resource/Detouring_America;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Carl_W._Stalling;0
http://dbpedia.org/resource/Demons_of_the_Mind;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Christopher_Wicking;0
http://dbpedia.org/resource/Deep_Impact_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/David_Brown_(producer);0
http://dbpedia.org/resource/Deep_Blue_Sea_(1999_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Renny_Harlin;0
http://dbpedia.org/resource/Dedication_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Jeremy_Shamos;0
http://dbpedia.org/resource/Death_and_the_Maiden_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Thom_Mount;0
http://dbpedia.org/resource/Deadly_Advice;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Richard_Harvey;0
http://dbpedia.org/resource/Dead_Snow;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Tomas_Evjen;0
http://dbpedia.org/resource/Day_of_the_Dead_(2008_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Jeffrey_Reddick;0
http://dbpedia.org/resource/Day_Watch_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Sergei_Trofimov_(cinematographer);0
http://dbpedia.org/resource/Davy_Crockett:_King_of_the_Wild_Frontier_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Norman_Foster_(director);0
http://dbpedia.org/resource/David_(2013_Tamil_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Sheetal_Menon;0
http://dbpedia.org/resource/Darna_Zaroori_Hai;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Amal_Neerad;0
http://dbpedia.org/resource/Darling_(2015_Indian_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Megha_(singer);0
http://dbpedia.org/resource/Darling_(2007_Indian_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Adnan_Sami;0
http://dbpedia.org/resource/Dark_Victory;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Daniel_Petrie;0
http://dbpedia.org/resource/Dark_Passage_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Houseley_Stevenson;0
http://dbpedia.org/resource/Dante's_Inferno:_An_Animated_Epic;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Dante_Alighieri;0
