subject;predicate;object;truth_value
http://dbpedia.org/resource/Zohar_Manna;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/First-order_logic;0
http://dbpedia.org/resource/Yves_Meyer;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Operator_theory;0
http://dbpedia.org/resource/Wilmatte_Porter_Cockerell;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/United_States_National_Herbarium;0
http://dbpedia.org/resource/William_Shadish;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Sociology;0
http://dbpedia.org/resource/William_Nordhaus;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Stern_Review;0
http://dbpedia.org/resource/William_Healey_Dall;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Anthropology;0
http://dbpedia.org/resource/William_Happer;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Spectroscopy;0
http://dbpedia.org/resource/Walter_Wilczynski;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Neuroanatomy;0
http://dbpedia.org/resource/W._G._Unruh;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Physical_cosmology;0
http://dbpedia.org/resource/Vladimir_Lobashev;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Genetics;0
http://dbpedia.org/resource/Vincenzo_Di_Nicola;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/A_Stranger_in_the_Family;0
http://dbpedia.org/resource/Tracy_Palmer;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Enzyme_kinetics;0
http://dbpedia.org/resource/Thomas_Ollendick;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Psychology;0
http://dbpedia.org/resource/Tanel_Tammet;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Wikipedia;0
http://dbpedia.org/resource/Stephen_R._Bourne;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Mathematics;0
http://dbpedia.org/resource/Simon_Biesheuvel;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Monograph;0
http://dbpedia.org/resource/Shinobu_Kitayama;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Cultural_neuroscience;0
http://dbpedia.org/resource/Sergi_Jikia;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Linguistics;0
http://dbpedia.org/resource/Saul_Perlmutter;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Astronomy;0
http://dbpedia.org/resource/Sara_Nasserzadeh;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/The_Orgasm_Answer_Guide;0
http://dbpedia.org/resource/Samuel_Greenhouse;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Analysis_of_variance;0
http://dbpedia.org/resource/Rose_Frisch;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Genetics;0
http://dbpedia.org/resource/Ronald_V._Clarke;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Anthology;0
http://dbpedia.org/resource/Ronald_Akers;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Sociology;0
http://dbpedia.org/resource/Robert_H._Grubbs;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Organometallic_chemistry;0
http://dbpedia.org/resource/Richard_D._Todd;https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Genetics;0
http://dbpedia.org/resource/Rasmus_Nielsen_(biologist);https://dbpedia.org/ontology/academicDiscipline;http://dbpedia.org/resource/Population_genetics;0
