subject;predicate;object;truth_value
http://dbpedia.org/resource/Xiaowei_Zhuang;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Beckman_Young_Investigators_Award;0
http://dbpedia.org/resource/William_King_Gregory;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Viking_Fund_Medal;0
http://dbpedia.org/resource/Walter_Hayman;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Fellow_of_the_Royal_Society;0
http://dbpedia.org/resource/Vivian_Lee;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Rhodes_Scholarship;0
http://dbpedia.org/resource/Tracy_Palmer;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Fleming_Prize_Lecture;0
http://dbpedia.org/resource/Ted_Janssen;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Nobel_Prize_in_Chemistry;0
http://dbpedia.org/resource/Saul_Perlmutter;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Albert_Einstein_Medal;0
http://dbpedia.org/resource/Ruth_Arnon;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Robert_Koch_Prize;0
http://dbpedia.org/resource/Robert_H._Grubbs;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Arthur_C._Cope_Award;0
http://dbpedia.org/resource/Robert_Bell_(geologist);https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Fellow_of_the_Royal_Society;0
http://dbpedia.org/resource/Peter_Wells_(medical_physicist);https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Duddell_Medal_and_Prize;0
http://dbpedia.org/resource/Paul_Milgrom;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/2020_Nobel_Memorial_Prize_in_Economic_Sciences;0
http://dbpedia.org/resource/Paul_Farmer;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Harvard_University_Professor;0
http://dbpedia.org/resource/Pardis_Sabeti;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Time_100;0
http://dbpedia.org/resource/Norman_Allinger;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Arthur_C._Cope_Award;0
http://dbpedia.org/resource/Melvin_Cohn;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine;0
http://dbpedia.org/resource/Maor_Farid;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Fulbright_Program;0
http://dbpedia.org/resource/Lewis_Wolpert;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Fellow_of_the_Academy_of_Medical_Sciences;0
http://dbpedia.org/resource/Leon_Kass;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Harvard_Centennial_Medal;0
http://dbpedia.org/resource/Lance_Liotta;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Surgeon_General's_Medallion;0
http://dbpedia.org/resource/Kip_Thorne;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Time_100;0
http://dbpedia.org/resource/Kenneth_G._Wilson;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Franklin_Medal;0
http://dbpedia.org/resource/Jonathan_D._Cohen;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/William_James_Fellow_Award;0
http://dbpedia.org/resource/John_Lindl;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Ernest_Orlando_Lawrence_Award;0
http://dbpedia.org/resource/John_Bardeen;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Franklin_Medal;0
http://dbpedia.org/resource/Joe_Neilands;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Nobel_Prize;0
http://dbpedia.org/resource/James_F._Scott;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Fellow_of_the_Royal_Society;0
http://dbpedia.org/resource/J._Robert_Oppenheimer;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Medal_for_Merit;0
http://dbpedia.org/resource/Herbert_A._Simon;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/APA_Award_for_Lifetime_Contributions_to_Psychology;0
http://dbpedia.org/resource/Harvey_J._Alter;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/2020_Nobel_Prize_in_Physiology_or_Medicine;0
http://dbpedia.org/resource/Guy_Rocher;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Sir_John_William_Dawson_Medal;0
http://dbpedia.org/resource/Frank_Wilczek;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/King_Faisal_International_Prize;0
http://dbpedia.org/resource/Frank_Sargent_(scientist);https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Colworth_Medal;0
http://dbpedia.org/resource/Francis_T._Cullen;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Stockholm_Prize_in_Criminology;0
http://dbpedia.org/resource/Francesco_d'Errico;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/CNRS_Gold_medal;0
http://dbpedia.org/resource/Edsger_W._Dijkstra;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Distinguished_Fellow_of_the_British_Computer_Society;0
http://dbpedia.org/resource/Douglas_Hofstadter;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Nobel_Prize;0
http://dbpedia.org/resource/Donald_Kagan;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Jefferson_Lecture;0
http://dbpedia.org/resource/Donald_Hopkins;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Medal_of_Honor;0
http://dbpedia.org/resource/David_MacDougall;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Asia_Pacific_Screen_Awards;0
http://dbpedia.org/resource/David_Lee_(physicist);https://dbpedia.org/ontology/award;http://dbpedia.org/resource/List_of_Jewish_Nobel_laureates;0
http://dbpedia.org/resource/David_Julius;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Princess_of_Asturias_Awards;0
http://dbpedia.org/resource/David_Gries;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/SIGCSE_Award_for_Outstanding_Contribution_to_Computer_Science_Education;0
http://dbpedia.org/resource/David_Goodall_(botanist);https://dbpedia.org/ontology/award;http://dbpedia.org/resource/2016_Australia_Day_Honours;0
http://dbpedia.org/resource/Colin_L._Masters;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Florey_Medal;0
http://dbpedia.org/resource/Christy_Haynes;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Searle_Scholars_Program;0
http://dbpedia.org/resource/Avi_Wigderson;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/ACM_Fellow;0
http://dbpedia.org/resource/Arnall_Patz;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Lasker_Award;0
http://dbpedia.org/resource/Ardem_Patapoutian;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Nobel_Prize;0
http://dbpedia.org/resource/Ajit_Ram_Verma;https://dbpedia.org/ontology/award;http://dbpedia.org/resource/Atmaram_Award;0
