subject;predicate;object;truth_value,
http://dbpedia.org/resource/W._Horsley_Gantt;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/United_States;0,
http://dbpedia.org/resource/William_Silverman;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Greenbrae,_California;0
http://dbpedia.org/resource/Samuel_Greenhouse;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Rockville,_Maryland;0
http://dbpedia.org/resource/Nalini_Balbir;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Munich;0,
http://dbpedia.org/resource/Paul_Farmer;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Haiti;0,
http://dbpedia.org/resource/Robert_Bell_(geologist);http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Canada;0,
http://dbpedia.org/resource/Nektarios_Tavernarakis;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Thessaloniki;0,
http://dbpedia.org/resource/Tanel_Tammet;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Gothenburg;0,
http://dbpedia.org/resource/Paul_Milgrom;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Oak_Park,_Michigan;0
http://dbpedia.org/resource/Nanda_Rea;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Fermi_Gamma-ray_Space_Telescope;0,
http://dbpedia.org/resource/Peter_F._Green;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Arusha;0,
http://dbpedia.org/resource/Walter_Hayman;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Cambridge;0,
http://dbpedia.org/resource/Stephanie_Kwolek;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Talleyville,_Delaware;0
http://dbpedia.org/resource/Susan_L._Swain;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/La_Jolla;0,
http://dbpedia.org/resource/Melvin_Cohn;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/San_Diego;0,
http://dbpedia.org/resource/William_Howard_Stein;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Scarsdale,_New_York;0
http://dbpedia.org/resource/Lawrence_Alexander_Hardie;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Seaside,_California;0
http://dbpedia.org/resource/William_Shadish;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Mariposa,_California;0
http://dbpedia.org/resource/Maha_Ashour-Abdalla;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Los_Angeles;0,
http://dbpedia.org/resource/Tracy_Palmer;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Norwich;0,
http://dbpedia.org/resource/Oscar_Ratnoff;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Cleveland;0,
http://dbpedia.org/resource/Leo_Postman;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Marblehead,_Massachusetts;0
http://dbpedia.org/resource/Thomas_Oakland;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/United_States;0,
http://dbpedia.org/resource/Ted_Janssen;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Groesbeek;0,
http://dbpedia.org/resource/Micha_Sharir;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/United_States;0,
