subject;predicate;object;truth_value,
http://dbpedia.org/resource/George_Everest;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Mount_Everest;0,
http://dbpedia.org/resource/George_Dantzig;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Washington,_D.C.;0
http://dbpedia.org/resource/Elving_Anderson;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Stromsburg,_Nebraska;0
http://dbpedia.org/resource/Haldan_Keffer_Hartline;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Bloomsburg,_Pennsylvania;0
http://dbpedia.org/resource/Wilhelm_Wien;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Heidelberg;0,
http://dbpedia.org/resource/Albert_Claude;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Bratislava;0,
http://dbpedia.org/resource/Walter_Houser_Brattain;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Walla_Walla,_Washington;0
http://dbpedia.org/resource/Hans_Kuypers;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Rotterdam;0,
http://dbpedia.org/resource/David_Goodall_(botanist);http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Australian_National_Botanic_Gardens;0,
http://dbpedia.org/resource/Hanna_Neumann;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Australia;0,
http://dbpedia.org/resource/Harold_Furth;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Vienna;0,
http://dbpedia.org/resource/Andrew_Huxley;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Hampstead;0,
http://dbpedia.org/resource/William_James_Mayo;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Le_Sueur,_Minnesota;0
http://dbpedia.org/resource/Harold_Beverage;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/United_States;0,
http://dbpedia.org/resource/Warren_Ambrose;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Virden,_Illinois;0
http://dbpedia.org/resource/Walter_Wilczynski;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Georgia_(U.S._state);0,
http://dbpedia.org/resource/Vladimir_Mikhailovich_Myasishchev;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Yefremov_(town);0,
http://dbpedia.org/resource/Wang_Buxuan;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Jiangsu;0,
http://dbpedia.org/resource/Bernhard_Neumann;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/German_Empire;0,
http://dbpedia.org/resource/Harold_Max_Rosenberg;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/United_Kingdom;0,
http://dbpedia.org/resource/William_Astbury;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/United_Kingdom;0,
http://dbpedia.org/resource/Vladimir_Chelomey;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Lublin_Governorate;0,
http://dbpedia.org/resource/George_Armitage_Miller;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Birmingham,_Alabama;0
