subject;predicate;object;truth_value,
http://dbpedia.org/resource/William_Healey_Dall;http://dbpedia.org/property/education;http://dbpedia.org/resource/George_Washington_University;0,
http://dbpedia.org/resource/Warren_B._Mori;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_California,_Los_Angeles;0
http://dbpedia.org/resource/Susan_Huganir_Magsamen;http://dbpedia.org/property/education;http://dbpedia.org/resource/Shepherd_University;0,
http://dbpedia.org/resource/William_L._Kruer;http://dbpedia.org/property/education;http://dbpedia.org/resource/Princeton_University;0,
http://dbpedia.org/resource/Paul_Milgrom;http://dbpedia.org/property/education;http://dbpedia.org/resource/Northwestern_University;0,
http://dbpedia.org/resource/Stephanie_Kwolek;http://dbpedia.org/property/education;http://dbpedia.org/resource/Clarkson_University;0,
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/property/education;http://dbpedia.org/resource/Harvard_University;0,
http://dbpedia.org/resource/Richard_Woodcock;http://dbpedia.org/property/education;http://dbpedia.org/resource/Western_Oregon_University;0,
http://dbpedia.org/resource/William_Nordhaus;http://dbpedia.org/property/education;http://dbpedia.org/resource/Massachusetts_Institute_of_Technology;0,
http://dbpedia.org/resource/Pardis_Sabeti;http://dbpedia.org/property/education;http://dbpedia.org/resource/Harvard_Medical_School;0,
http://dbpedia.org/resource/Maxwell_McCombs;http://dbpedia.org/property/education;http://dbpedia.org/resource/Syracuse_University;0,
http://dbpedia.org/resource/Tanel_Tammet;http://dbpedia.org/property/education;http://dbpedia.org/resource/Tallinn_University_of_Technology;0,
http://dbpedia.org/resource/Saul_Perlmutter;http://dbpedia.org/property/education;http://dbpedia.org/resource/Temple_University;0,
http://dbpedia.org/resource/Tracy_Palmer;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Dundee;0,
http://dbpedia.org/resource/Thomas_Ollendick;http://dbpedia.org/property/education;http://dbpedia.org/resource/Virginia_Tech;0,
http://dbpedia.org/resource/William_Henry_Pickering;http://dbpedia.org/property/education;http://dbpedia.org/resource/Harvard_University;0,
