subject;predicate;object;truth_value
http://dbpedia.org/resource/Vinoba_Bhave_University;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Ranchi_University;0
http://dbpedia.org/resource/Vijayanagara_Sri_Krishnadevaraya_University;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Gulbarga_University;0
http://dbpedia.org/resource/Vellore_Institute_of_Technology;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/VIT_Bhopal_University;0
http://dbpedia.org/resource/Uttarakhand_Residential_University;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Jawaharlal_Nehru_University;0
http://dbpedia.org/resource/University_of_Westminster;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Westminster_International_University_in_Tashkent;0
http://dbpedia.org/resource/University_of_Waikato;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Toi_Ohomai_Institute_of_Technology;0
http://dbpedia.org/resource/University_of_Victoria;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Universities_and_Colleges_of_Canada;0
http://dbpedia.org/resource/University_of_Technology_Sarawak;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Yayasan_Sarawak;0
http://dbpedia.org/resource/University_of_Technology_Malaysia;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_of_Sydney;0
http://dbpedia.org/resource/University_of_Sydney;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/American_Broadcasting_Company;0
http://dbpedia.org/resource/University_of_Sussex;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Bellerbys_College;0
http://dbpedia.org/resource/University_of_Strathclyde;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_of_Strathclyde_Students'_Association;0
http://dbpedia.org/resource/University_of_Sheffield;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Dearne_Valley_College;0
http://dbpedia.org/resource/University_of_Science_and_Technology_Chittagong;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_of_Chittagong;0
http://dbpedia.org/resource/University_of_Salford;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/BAE_Systems;0
http://dbpedia.org/resource/University_of_Rajshahi;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Rajshahi_University_of_Engineering_&_Technology;0
http://dbpedia.org/resource/University_of_Queensland;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Community_for_Open_Antimicrobial_Drug_Discovery;0
http://dbpedia.org/resource/University_of_Portsmouth;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Portsmouth_F.C.;0
http://dbpedia.org/resource/University_of_Nottingham_Malaysia;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_of_Nottingham_Ningbo_China;0
http://dbpedia.org/resource/University_of_Mysore;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Mysore_University_Library;0
http://dbpedia.org/resource/University_of_Limerick;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/The_Rosetta_Foundation;0
http://dbpedia.org/resource/University_of_Kota;https://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Rajasthan;0
