subject;predicate;object;truth_value
http://dbpedia.org/resource/Universiti_Tenaga_Nasional;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Chancellor_(education);0
http://dbpedia.org/resource/University_of_Technology_Sarawak;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Pro-Chancellor;0
http://dbpedia.org/resource/University_of_Canterbury;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Alwyn_Warren_(bishop);0
http://dbpedia.org/resource/University_of_Hull;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Alister_Hardy;0
http://dbpedia.org/resource/University_of_Strathclyde;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Andrew_Ure;0
http://dbpedia.org/resource/University_of_Reading;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Andrew_Gurr;0
http://dbpedia.org/resource/University_of_Jaffna;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/W._L._Jeyasingham;0
http://dbpedia.org/resource/Tasmanian_Institute_of_Agriculture;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Peter_Rathjen;0
http://dbpedia.org/resource/Ulster_University_at_Coleraine;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/John_Lockwood_(classicist);0
http://dbpedia.org/resource/University_of_Dar_es_Salaam;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Walter_Rodney;0
http://dbpedia.org/resource/University_of_Waikato;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Derek_Sikua;0
http://dbpedia.org/resource/University_of_Putra_Malaysia;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Amirudin_Shari;0
http://dbpedia.org/resource/University_of_Suffolk;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Amanda_Ansell;0
http://dbpedia.org/resource/University_of_Portsmouth;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Andrew_Miller_(politician);0
http://dbpedia.org/resource/University_of_the_Sunshine_Coast;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Wayne_Swan;0
http://dbpedia.org/resource/University_of_Information_Technology_and_Sciences;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Abdul_Hamid_(politician);0
http://dbpedia.org/resource/University_College_London;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Allen_Mawer;0
http://dbpedia.org/resource/Ulster_University;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Amanda_Burton;0
http://dbpedia.org/resource/Universiti_Utara_Malaysia;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Abdul_Halim_of_Kedah;0
http://dbpedia.org/resource/University_of_Leicester;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/David_Attenborough;0
http://dbpedia.org/resource/Vinoba_Bhave_University;https://dbpedia.org/ontology/chancellor;http://dbpedia.org/resource/Lalu_Prasad_Yadav;0
