subject;predicate;object;truth_value,
http://dbpedia.org/resource/Alagappa_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Ramanathapuram;0,
http://dbpedia.org/resource/Davangere_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Davangere;0,
http://dbpedia.org/resource/Amrita_Vishwa_Vidyapeetham;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Amaravati;0,
http://dbpedia.org/resource/University_of_Otago;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Auckland;0,
http://dbpedia.org/resource/Vellore_Institute_of_Technology;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Chennai;0,
http://dbpedia.org/resource/Jaypee_University_of_Information_Technology;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Shimla;0,
http://dbpedia.org/resource/University_of_Bristol;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Education_in_Bristol;0,
http://dbpedia.org/resource/University_of_Victoria;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Victoria,_British_Columbia;0
http://dbpedia.org/resource/Tamil_Nadu_Fisheries_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Chennai;0,
http://dbpedia.org/resource/Symbiosis_International_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Noida;0,
http://dbpedia.org/resource/University_of_Manchester;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Singapore;0,
http://dbpedia.org/resource/Lala_Lajpat_Rai_University_of_Veterinary_and_Animal_Sciences;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Narnaund;0,
http://dbpedia.org/resource/Harichand_Guruchand_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Thakurnagar;0,
http://dbpedia.org/resource/University_College_London;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Bangor,_Gwynedd;0
http://dbpedia.org/resource/University_of_the_Sunshine_Coast;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Brisbane;0,
http://dbpedia.org/resource/Texas_A&M_University_at_Qatar;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Haifa,_Israel;0
http://dbpedia.org/resource/University_of_Sunderland;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Sunderland,_Tyne_and_Wear;0
http://dbpedia.org/resource/University_of_Cumbria;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Carlisle,_Cumbria;0
http://dbpedia.org/resource/Wilfrid_Laurier_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Chongqing;0,
http://dbpedia.org/resource/University_of_East_Anglia;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Bristol;0,
http://dbpedia.org/resource/Dr._NTR_University_of_Health_Sciences;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Visakhapatnam;0,
http://dbpedia.org/resource/University_of_Canterbury;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Auckland;0,
http://dbpedia.org/resource/SNDT_Women's_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Pune;0,
http://dbpedia.org/resource/Anna_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dindigul;0,
http://dbpedia.org/resource/University_of_Exeter;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Truro;0,
http://dbpedia.org/resource/University_of_Salford;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/MediaCityUK;0,
http://dbpedia.org/resource/Vijayanagara_Sri_Krishnadevaraya_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Kalaburagi;0,
http://dbpedia.org/resource/University_of_Sheffield;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Thessaloniki;0,
http://dbpedia.org/resource/University_of_Wales;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Bangor,_Wales;0
http://dbpedia.org/resource/University_of_Sussex;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Brighton_and_Hove;0,
http://dbpedia.org/resource/University_of_Madras;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Bangalore;0,
http://dbpedia.org/resource/University_of_Melbourne;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Werribee,_Victoria;0
http://dbpedia.org/resource/University_of_London;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Gordon_Square;0,
http://dbpedia.org/resource/Pondicherry_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Bangalore;0,
http://dbpedia.org/resource/University_of_Lincoln;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Leicester;0,
http://dbpedia.org/resource/Vardhaman_Mahaveer_Open_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Ajmer;0,
http://dbpedia.org/resource/University_of_Dundee;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Accra;0,
http://dbpedia.org/resource/Devi_Ahilya_Vishwavidyalaya;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dhar;0,
http://dbpedia.org/resource/Australian_National_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Darwin,_Northern_Territory;0
http://dbpedia.org/resource/University_of_Westminster;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Central_London;0,
http://dbpedia.org/resource/University_of_Jammu;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Udhampur;0,
http://dbpedia.org/resource/University_of_Hertfordshire;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Phoenix_(mythology);0,
http://dbpedia.org/resource/University_of_Sydney;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Athens;0,
http://dbpedia.org/resource/Ashoka_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Rajiv_Gandhi_Education_City;0,
http://dbpedia.org/resource/University_of_Edinburgh;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Beijing;0,
